sku,family,M,N,K,dtype,median_s,iqr_s,n_iters
v5e,random,616,6112,384,bf16,0.0001412349999725393,2.2535000141488126e-06,20
v5e,random,656,272,1144,bf16,0.00012017500000638393,6.190000007677554e-06,20
v5e,random,656,272,1144,int8,0.00011880499999961103,5.685749997041967e-06,20
v5e,random,680,1032,13896,bf16,0.00023528999997779465,3.0124999312874934e-06,20
v5e,random,704,296,856,bf16,0.00011958499999309424,3.951000039137398e-06,20
v5e,random,704,296,856,int8,0.00011799499998232932,3.5399999802621096e-06,20
v5e,random,728,2056,616,bf16,0.00012902000000281078,2.152249990672317e-06,20
v5e,random,728,2056,616,int8,0.0001277654999967126,3.0222500413401576e-06,20
v5e,random,744,976,1776,bf16,0.00013202950003687874,4.2782500031535164e-06,20
v5e,random,744,976,1776,int8,0.0001244899999903737,2.1032499972761798e-06,20
v5e,random,768,2096,1976,bf16,0.0001530099999911272,2.2999999913508873e-06,20
v5e,random,872,10600,1952,bf16,0.00032419449999565586,2.7740000234643958e-06,20
v5e,random,872,15768,11320,bf16,0.0018036600000073122,2.4985000237620625e-06,20
v5e,random,872,15768,11320,int8,0.0009699249999925996,3.4600000446971535e-06,20
v5e,random,880,344,12128,bf16,0.00015841000004002126,2.2150000518195156e-06,20
v5e,random,880,344,12128,int8,0.00013976500002854664,4.167499980667344e-06,20
v5e,random,888,536,496,bf16,0.00012014499998258543,3.4775001154230267e-06,20
v5e,random,912,336,200,bf16,0.00012012000001959677,1.6374999063373252e-06,20
v5e,random,920,10584,160,bf16,0.00017352499997969062,2.6000000161729986e-06,20
v5e,random,952,6784,2680,bf16,0.00030910500004210917,2.794249979842789e-06,20
v5e,random,960,4520,4040,bf16,0.00030775999999832493,2.7825000756820373e-06,20
v5e,random,1000,2208,232,bf16,0.0001307509999719514,1.599499938720328e-06,20
v5e,random,1000,2208,232,int8,0.00012933000004977657,2.5250000135201844e-06,20
v5e,random,1000,9048,200,bf16,0.00017053000004807473,3.1925000314458885e-06,20
v5e,random,1000,9048,200,int8,0.00016807499997639752,3.827249912546904e-06,20
v5e,random,1008,2600,16000,bf16,0.0005702199999859658,1.6245001006609527e-06,20
v5e,random,1088,13144,1448,bf16,0.0003600144999609256,1.202500044428234e-06,20
v5e,random,1200,1504,5904,bf16,0.000248140000053354,2.874999978530468e-06,20
v5e,random,1232,6976,3480,bf16,0.00045342449999452583,3.820000046061978e-06,20
v5e,random,1232,6976,3480,int8,0.00030147500001476146,2.9775000029985677e-06,20
v5e,random,1288,448,280,bf16,0.00012868999993997932,3.929999934371153e-06,20
v5e,random,1328,6632,2392,bf16,0.00035736000000952117,4.193250020989581e-06,20
v5e,random,1328,6632,2392,int8,0.0002429399999641646,3.0899999785560794e-06,20
v5e,random,1344,10032,200,bf16,0.00020461500002966204,3.922500070530077e-06,20
v5e,random,1352,9584,11896,bf16,0.001801679500033515,3.48750000966902e-06,20
v5e,random,1376,14616,5520,bf16,0.0013197449999893252,2.094999956625543e-06,20
v5e,random,1376,14616,5520,int8,0.000821589999986827,1.895000025342597e-06,20
v5e,random,1432,1672,5800,bf16,0.00029018500003985537,5.7975000515853026e-06,20
v5e,random,1432,1672,5800,int8,0.00020639499996377708,2.5774999699024193e-06,20
v5e,random,1496,6696,368,bf16,0.00018551950000755824,3.452500095590949e-06,20
v5e,random,1496,6696,368,int8,0.00018161999997801104,2.837499977204061e-06,20
v5e,random,1600,1016,160,bf16,0.00014230549999183495,3.0617500215157634e-06,20
v5e,random,1600,1016,160,int8,0.00013241450000123223,1.2022500186503748e-06,20
v5e,random,1600,1216,520,bf16,0.00014722399998845503,3.62175012469379e-06,20
v5e,random,1624,200,15016,bf16,0.00017788449997624411,3.2517500869744254e-06,20
v5e,random,1664,384,5568,bf16,0.00016238950001934427,2.7757500618008635e-06,20
v5e,random,1688,7584,1360,bf16,0.0003203799999482726,3.4675000222250674e-06,20
v5e,random,1696,6624,16152,bf16,0.0020654994999631526,1.941750014111676e-06,20
v5e,random,1696,6624,16152,int8,0.0011118445000306565,3.0947499567446357e-06,20
v5e,random,1752,1096,11728,bf16,0.000382054999988668,8.485000023483735e-06,20
v5e,random,1920,136,4072,bf16,0.0001349000000345768,3.762500000448199e-06,20
v5e,random,1920,136,4072,int8,0.00012933999994402257,1.3897500252824102e-06,20
v5e,random,1960,456,416,bf16,0.00013098499994157464,2.6124999692456186e-06,20
v5e,random,2040,208,856,bf16,0.0001323749999642132,6.522499916172819e-06,20
v5e,random,2040,208,856,int8,0.00012851449997697273,4.503250011111959e-06,20
v5e,random,2048,136,5440,bf16,0.00014076450003130958,2.7952499976890977e-06,20
v5e,random,2048,136,5440,int8,0.0001332100000581704,2.5024999956713145e-06,20
v5e,random,2112,2384,13656,bf16,0.0008953794999797537,2.8027499183735927e-06,20
v5e,random,2112,2384,13656,int8,0.0005015600000319864,4.6174999681625195e-06,20
v5e,random,2120,328,1648,bf16,0.00013632000002417044,2.3549999639271846e-06,20
v5e,random,2136,328,14552,bf16,0.00024467500003311216,2.4465000478812726e-06,20
v5e,random,2144,552,3336,bf16,0.00016887999998971281,3.1525000281362736e-06,20
v5e,random,2144,552,3336,int8,0.00015271449990450492,5.158500073321193e-06,20
v5e,random,2288,664,856,bf16,0.00013790499997412553,3.474999914487853e-06,20
v5e,random,2288,7848,264,bf16,0.00024229500002093118,4.239999952915241e-06,20
v5e,random,2432,328,232,bf16,0.00012905999994927697,1.6574999222029874e-06,20
v5e,random,2432,328,232,int8,0.00012781049997556693,2.2697501549373555e-06,20
v5e,random,2432,4416,1792,bf16,0.0003392295000139711,3.382499869530875e-06,20
v5e,random,2432,4416,1792,int8,0.00023222000004352594,3.860000106215011e-06,20
v5e,random,2536,824,16168,bf16,0.0005034795000256054,2.544500034673547e-06,20
v5e,random,2536,824,16168,int8,0.00035270450007374166,1.91350005707136e-06,20
v5e,random,2656,960,2520,bf16,0.00019775999999183114,1.7849998243946175e-06,20
v5e,random,2776,1424,288,bf16,0.00015168450011060486,1.2450000781427661e-06,20
v5e,random,2816,480,160,bf16,0.00013178999995488994,2.9300001074261672e-06,20
v5e,random,3040,488,3872,bf16,0.0001900050000358533,2.3874999897088856e-06,20
v5e,random,3040,488,3872,int8,0.00016425499995875725,2.4900000994421134e-06,20
v5e,random,3080,10784,176,bf16,0.0003104300000131843,2.184999857490766e-06,20
v5e,random,3080,10784,176,int8,0.00030970499994964484,2.2425001588999294e-06,20
v5e,random,3304,4104,288,bf16,0.00021362500001487206,3.4774998312059324e-06,20
v5e,random,3336,5128,224,bf16,0.00022725550002178352,2.827249829806533e-06,20
v5e,random,3336,5128,224,int8,0.00022808500000337517,2.7142500016452686e-06,20
v5e,random,3368,600,4032,bf16,0.00021418550011276238,4.074750052041054e-06,20
v5e,random,3384,744,640,bf16,0.00014635050001743366,3.607499991176155e-06,20
v5e,random,3384,744,640,int8,0.00014247499996145052,4.0467500070917595e-06,20
v5e,random,3616,848,248,bf16,0.00014318549995095964,2.077499971164798e-06,20
v5e,random,3712,2192,4488,bf16,0.0005288594999228735,2.177749877319002e-06,20
v5e,random,3752,632,304,bf16,0.00014058499994007434,2.7494997993926518e-06,20
v5e,random,3856,536,5312,bf16,0.0002530355000089912,5.197499888254242e-06,20
v5e,random,3896,6880,15008,bf16,0.00452992999998969,7.350750081513979e-06,20
v5e,random,3984,5896,6184,bf16,0.001750915000002351,3.480000032141106e-06,20
v5e,random,4040,2024,7048,bf16,0.000760170000035032,3.4375000836917025e-06,20
v5e,random,4048,7696,3432,bf16,0.0012994799999432871,3.689249922445015e-06,20
v5e,random,4048,7696,3432,int8,0.0007037449998961165,2.0400000835252285e-06,20
v5e,random,4144,14912,2080,bf16,0.001587279999966995,2.9452502303684014e-06,20
v5e,random,4144,14912,2080,int8,0.0008711849999372134,2.777499901185365e-06,20
v5e,random,4152,2944,2488,bf16,0.0004749649999666872,8.299499882014061e-06,20
v5e,random,4248,1640,576,bf16,0.0001797700000452096,3.234500070448121e-06,20
v5e,random,4336,192,712,bf16,0.00013680500001100881,7.052249884509365e-06,20
v5e,random,4336,192,712,int8,0.000127650000081303,3.7924998537164356e-06,20
v5e,random,4336,200,872,bf16,0.000132795000013175,2.955000127258245e-06,20
v5e,random,4336,200,872,int8,0.00013019499999700201,2.36249985618997e-06,20
v5e,random,4744,7992,256,bf16,0.00034299500009637995,1.654999948641489e-06,20
v5e,random,4744,7992,256,int8,0.00033981499996116327,2.9549999567279883e-06,20
v5e,random,4832,200,1016,bf16,0.00013761900004283234,7.873250069678761e-06,20
v5e,random,4832,200,1016,int8,0.00013115449996803363,2.2322500399241108e-06,20
v5e,random,4944,1080,2224,bf16,0.0002574344999857203,2.6449999381839007e-06,20
v5e,random,4944,1080,2224,int8,0.00019862000010562042,4.633249943708506e-06,20
v5e,random,5064,1544,11616,bf16,0.0011007744999460556,1.844250050453411e-06,20
v5e,random,5064,1544,11616,int8,0.0006254250000665706,8.757499983857997e-06,20
